timestamp,user_id,ip_address,device_type,browser,failure_reason,auth_type,threat_level
2025-07-23 00:10:24,6a214818-e78e-47fc-a728-226c70b18e37,148.6.34.231,Tablet,Edge,Account Locked,Token,10
2025-12-09 12:43:10,6ad7f4f8-3b0b-45c8-b6aa-2cf6a10b2040,134.106.53.46,PC,Edge,None,Biometric,5
2025-04-10 04:15:24,ec4aa120-d196-45af-98ca-4a13ec08d354,164.233.90.226,PC,Firefox,None,Password,10
2026-02-13 02:22:46,71041fa0-b11c-4df8-ace3-59a60b13d613,205.62.126.123,PC,Chrome,None,Biometric,3
2025-02-15 12:41:34,130c32b7-28e7-4d6c-99e0-2e17a439550e,157.225.10.229,PC,Safari,None,Password,9
2025-08-20 09:08:25,9a447ec0-e7f4-425c-92a2-cbc07f3c095b,109.106.202.215,Tablet,Opera,None,Password,2
2026-01-16 07:21:38,a84f1f5d-ebde-4eb6-b5b2-2a3fe2976a4c,63.76.41.139,Mobile,Safari,Account Locked,Token,7
2025-11-10 23:46:18,fad8810f-9df1-47fb-b2dc-d9ec37d565e7,97.73.84.28,PC,Opera,None,Biometric,4
2025-05-16 18:40:29,feec519a-a57b-497c-8600-c7ed8180f853,34.170.43.186,PC,Safari,None,Token,4
2025-07-31 07:27:11,bc5bebc1-4a8e-4353-a002-512cc92cd503,208.102.7.22,Mobile,Safari,Token Expired,Token,8
2025-05-31 03:16:25,9b430f47-4280-4c68-a55b-e989d1e4ac0e,61.5.6.68,Tablet,Firefox,None,Token,6
2025-08-10 07:05:32,beb8cb36-e19c-4e98-93bd-c92c1257a7f2,130.177.205.11,Mobile,Opera,Token Expired,Token,4
2025-04-15 06:50:47,e4d26f83-75aa-4bba-b6de-b63fd8ebf193,133.195.222.44,PC,Safari,Token Expired,Token,10
2025-12-11 12:49:47,bf5f39a2-c263-4c8f-b7e3-a5ca18cf4cd6,163.152.121.212,PC,Safari,None,Token,1
2025-11-11 15:51:24,901482e7-8923-44ce-a235-9897124dc9b7,217.7.6.30,PC,Firefox,Password Incorrect,Token,7
2025-10-09 04:44:49,2d6d5313-8608-482d-8995-2eaf8d6cfed2,220.152.123.11,PC,Safari,Account Locked,Token,9
2026-01-27 15:08:28,323ee166-1e59-45e9-bb85-26af029ce60a,198.123.6.86,PC,Edge,None,Token,8
2025-11-26 01:03:41,0f262373-959d-42bb-a40a-430434a66398,70.215.55.40,Mobile,Safari,Account Locked,Token,8
2025-11-08 15:21:53,8a3af8fe-7a02-4d08-b4a1-3b9444c5ee96,209.27.234.138,Tablet,Opera,Token Expired,Biometric,1
2025-09-10 19:54:55,2ea928c5-f3e4-4bfa-9af1-fe35fc2e1197,195.107.224.207,Tablet,Firefox,None,Password,2
2025-05-02 18:18:20,8b85042b-1096-4882-916b-3a4988514d9e,203.133.191.236,Mobile,Opera,None,Biometric,4
2025-12-08 01:44:42,ac82e4b4-730c-4dfc-b7d2-197474d5f9df,81.188.88.185,Tablet,Chrome,Account Locked,Biometric,5
2025-04-18 10:25:27,3275c48f-dbe2-4fa4-b7a6-9793e61b1d46,218.3.107.1,PC,Chrome,Token Expired,Token,1
2025-12-09 12:46:54,6c56fe27-f6d5-4e66-ad15-85a232788460,124.190.34.108,PC,Edge,None,Biometric,8
2025-11-09 13:08:06,d6061018-d670-45ab-860a-0404cafc7469,210.186.180.173,Tablet,Edge,None,Biometric,7
2025-07-26 14:58:33,ce594642-543e-444c-bcf1-86860026e610,137.254.168.197,Tablet,Safari,None,Token,1
2025-04-14 14:26:06,2a95fcde-a2d0-4311-a7ff-039406eac6eb,190.175.196.155,Mobile,Firefox,None,Password,7
2025-03-29 10:36:04,4a7a1742-dcbe-4e4c-84d6-c94491c35357,70.73.220.240,Mobile,Safari,None,Token,10
2026-02-05 00:53:17,da7b289d-f486-41d4-aab3-10883c3539cc,222.144.126.167,Mobile,Chrome,Account Locked,Password,3
2025-03-11 18:12:24,ba183f96-9804-4450-b357-b7c07e7f9e92,137.13.222.207,Tablet,Firefox,Token Expired,Biometric,5
2025-12-28 07:08:05,9c5bab9a-9dce-4de9-9dad-66a4ecfad211,133.40.149.84,Mobile,Edge,None,Biometric,10
2025-02-21 20:10:52,833e8e06-9608-4c24-8e43-bc913170ec6e,42.20.46.202,PC,Edge,None,Token,9
2025-03-28 10:14:48,09ba7920-a8b3-4491-96b2-fbefc0c63993,118.41.6.0,PC,Chrome,None,Password,0
2025-05-04 22:17:43,961f0b8a-37fd-44ee-b690-2914ec8c811c,91.173.252.166,Tablet,Edge,Token Expired,Password,3
2025-07-11 10:21:00,a6253753-9ebc-4d72-b044-0ac2d0faa718,6.178.237.139,Mobile,Firefox,None,Password,5
2025-08-11 11:05:49,68546165-99bb-4a12-bff2-68ae47eb139f,133.217.233.71,Mobile,Chrome,Account Locked,Token,1
2025-09-14 18:25:46,5dfeb546-6d17-4291-a91f-1f0adae20633,24.100.252.74,PC,Safari,None,Password,4
2025-11-19 06:02:35,10dcac78-0a41-48f5-ab82-729b42ec3884,25.209.2.100,PC,Firefox,None,Password,4
2025-05-01 22:41:00,0d5a1ef4-f187-4b88-be97-008c74520491,135.191.108.135,Tablet,Chrome,None,Password,2
2025-05-19 12:39:25,97cf013f-4687-44de-8c34-bfac15a57df5,216.153.143.170,PC,Safari,None,Biometric,10
2026-01-11 21:01:11,36f67e75-d4f1-4b9f-880a-17cf9ac61c6e,154.158.186.227,PC,Chrome,None,Token,0
2025-11-14 09:17:05,2a978b0a-4b0c-45b4-bbc0-1e60ae636cc9,135.42.235.246,Tablet,Firefox,Account Locked,Password,6
2025-05-15 12:03:24,8e1d534b-abb8-4588-be7e-9116798eb87a,19.221.122.173,Mobile,Opera,None,Password,1
2025-06-27 10:20:19,697b5bf3-611e-4d5d-9cf9-f1eb422e9287,199.223.234.46,Mobile,Edge,None,Password,0
2025-04-08 15:38:08,13fb692f-625e-4fa2-b4d4-838683babe19,7.206.30.152,Tablet,Opera,None,Token,5
2025-08-12 07:14:51,1aaa4171-c31c-4668-9b75-0efdb9cabb54,83.165.161.199,Mobile,Firefox,None,Token,7
2025-02-18 21:34:28,1e9fc094-c882-4126-ae0d-bf952d3e2cdc,8.136.178.69,Mobile,Safari,None,Token,5
2025-11-01 23:51:38,60349267-92c6-4cff-b9a2-5b5e6b8eb482,83.246.63.213,PC,Firefox,None,Token,3
2025-04-24 22:56:36,8ee7854f-56ee-40ef-8bfb-abd2f43393fe,112.10.99.122,PC,Chrome,None,Password,4
2025-05-03 03:13:50,5f0552d8-061e-4673-b862-72e14796efd2,39.249.121.230,PC,Safari,Password Incorrect,Password,10
2025-10-21 01:23:53,27a2a5e0-5c18-48c0-968a-ee26aeacb67f,208.164.85.243,Tablet,Safari,None,Password,1
2025-04-11 15:20:59,21c66090-da1f-430c-b129-0fd6785014d5,212.4.101.135,Tablet,Safari,None,Biometric,0
2025-06-16 08:20:09,94f2c464-c275-42f9-bcbd-e5866eec0109,220.222.183.241,Tablet,Chrome,Account Locked,Biometric,8
2025-12-02 07:22:35,67947a12-b4ff-4990-a94c-68f71bba2fae,154.170.190.50,Tablet,Firefox,Password Incorrect,Password,8
2026-02-06 00:26:06,e61475ca-8391-4e2d-b2c4-f3e963fd4f69,120.189.140.148,Tablet,Firefox,Password Incorrect,Token,9
2025-03-12 17:32:35,4b4fd0e6-c041-4d8f-968e-38383a383d5b,210.226.189.47,Mobile,Safari,None,Token,9
2025-06-27 14:14:14,f900f251-667b-4d00-a6c0-b847735f2f8e,220.82.38.74,Mobile,Edge,Account Locked,Biometric,4
2025-10-19 21:41:31,fcb9b82b-d0b0-4dc0-992f-47c7781115eb,218.238.79.192,PC,Chrome,None,Password,9
2025-06-02 09:44:27,7d7c567a-01c3-44b1-85b4-d72be9d41b52,15.117.90.80,Mobile,Firefox,None,Password,3
2025-05-18 08:31:39,6aa775de-88c7-4c39-84bc-9d3f963340bd,170.99.239.40,PC,Firefox,Password Incorrect,Password,5
2026-02-05 11:51:21,f759da31-0008-4480-94bb-e7403c207f26,124.14.218.94,Mobile,Edge,None,Token,8
2025-11-24 09:12:54,b483a460-e47f-4761-825d-cbe4395fa4f3,219.40.200.227,Tablet,Safari,None,Biometric,8
2025-02-14 04:01:51,52769b5e-b483-4ecb-93bf-1d45a8fdee68,192.193.124.237,PC,Chrome,None,Password,2
2025-02-18 23:47:58,bf2a4574-1295-457f-9e21-509cf2ce68e4,180.164.87.157,Mobile,Edge,None,Biometric,3
2025-12-28 04:40:25,a90aee28-3e66-4a7e-9f7f-e86d782e4313,197.74.118.120,PC,Chrome,None,Biometric,6
2025-05-23 08:31:49,8811df85-26fe-4f2a-8188-7b4fdce86db9,156.207.142.125,Mobile,Opera,None,Biometric,2
